id,serial,product,action
62,F8J8,"Apple iMac 21.5-inch 2.7GHz Quad-Core i5 (Late 2013) ME086LL/A",
63,F8J8,"Apple iMac 21.5-inch 2.9GHz Quad-Core i5 (Late 2013) ME087LL/A",
64,F8J8,"Apple iMac 21.5-inch 3.1GHz Quad-Core i7 (Late 2013) ME087LL/A",
65,FPF1,"Apple iMac 21.5-inch 2.7GHz Quad-Core i5 (Late 2013) ME086LL/A",
66,FPF1,"Apple iMac 21.5-inch 2.9GHz Quad-Core i5 (Late 2013) ME087LL/A",
67,FPF1,"Apple iMac 21.5-inch 3.1GHz Quad-Core i7 (Late 2013) ME087LL/A",
68,FQMV,"Apple iMac 21.5-inch 2.7GHz Quad-Core i5 (Late 2013) ME086LL/A",
69,FQMV,"Apple iMac 21.5-inch 2.9GHz Quad-Core i5 (Late 2013) ME087LL/A",
70,FQMV,"Apple iMac 21.5-inch 3.1GHz Quad-Core i7 (Late 2013) ME087LL/A",
71,FQMW,"Apple iMac 21.5-inch 2.7GHz Quad-Core i5 (Late 2013) ME086LL/A",
72,FQMW,"Apple iMac 21.5-inch 2.9GHz Quad-Core i5 (Late 2013) ME087LL/A",
73,FQMW,"Apple iMac 21.5-inch 3.1GHz Quad-Core i7 (Late 2013) ME087LL/A",
74,FR1V,"Apple iMac 21.5-inch 2.7GHz Quad-Core i5 (Late 2013) ME086LL/A",
75,FR1V,"Apple iMac 21.5-inch 2.9GHz Quad-Core i5 (Late 2013) ME087LL/A",
76,FR1V,"Apple iMac 21.5-inch 3.1GHz Quad-Core i7 (Late 2013) ME087LL/A",
77,GF1J,"Apple iMac 21.5-inch 1.6GHz Core i5 (Late 2015) MK142LL/A",
78,GF1J,"Apple iMac 21.5-inch 2.8GHz Quad-Core i5 (Late 2015) MK142LL/A",
79,GF1L,"Apple iMac 21.5-inch 1.6GHz Core i5 (Late 2015) MK142LL/A",
80,GF1L,"Apple iMac 21.5-inch 2.8GHz Quad-Core i5 (Late 2015) MK142LL/A",
81,GG7D,"Apple iMac 21.5-inch 1.6GHz Core i5 (Late 2015) MK142LL/A",
82,GG7D,"Apple iMac 21.5-inch 2.8GHz Quad-Core i5 (Late 2015) MK142LL/A",
83,DAS,"Apple iMac 21.5-inch 3.06GHz Core i3 (Mid 2010) MC508LL/A",
84,DAS,"Apple iMac 21.5-inch 3.2GHz Core i3 (Mid 2010) MC509LL/A",
85,DAS,"Apple iMac 21.5-inch 3.6GHz Core i5 (Mid 2010) MC509LL/A",
86,DB7,"Apple iMac 21.5-inch 3.06GHz Core i3 (Mid 2010) MC508LL/A",
87,DB7,"Apple iMac 21.5-inch 3.2GHz Core i3 (Mid 2010) MC509LL/A",
88,DB7,"Apple iMac 21.5-inch 3.6GHz Core i5 (Mid 2010) MC509LL/A",
89,DNM,"Apple iMac 21.5-inch 3.06GHz Core i3 (Mid 2010) MC508LL/A",
90,DNM,"Apple iMac 21.5-inch 3.2GHz Core i3 (Mid 2010) MC509LL/A",
91,DNM,"Apple iMac 21.5-inch 3.6GHz Core i5 (Mid 2010) MC509LL/A",
92,DNN,"Apple iMac 21.5-inch 3.06GHz Core i3 (Mid 2010) MC508LL/A",
93,DNN,"Apple iMac 21.5-inch 3.2GHz Core i3 (Mid 2010) MC509LL/A",
94,DNN,"Apple iMac 21.5-inch 3.6GHz Core i5 (Mid 2010) MC509LL/A",
95,GY6,"Apple iMac 21.5-inch 3.06GHz Core i3 (Mid 2010) MC508LL/A",
96,GY6,"Apple iMac 21.5-inch 3.2GHz Core i3 (Mid 2010) MC509LL/A",
97,GY6,"Apple iMac 21.5-inch 3.6GHz Core i5 (Mid 2010) MC509LL/A",
98,HJV,"Apple iMac 21.5-inch 3.06GHz Core i3 (Mid 2010) MC508LL/A",
99,HJV,"Apple iMac 21.5-inch 3.2GHz Core i3 (Mid 2010) MC509LL/A",
100,HJV,"Apple iMac 21.5-inch 3.6GHz Core i5 (Mid 2010) MC509LL/A",
101,HJW,"Apple iMac 21.5-inch 3.06GHz Core i3 (Mid 2010) MC508LL/A",
102,HJW,"Apple iMac 21.5-inch 3.2GHz Core i3 (Mid 2010) MC509LL/A",
103,HJW,"Apple iMac 21.5-inch 3.6GHz Core i5 (Mid 2010) MC509LL/A",
104,DHJF,"Apple iMac 21.5-inch 2.5GHz Quad-core i5 (Mid 2011) MC309LL/A",
105,DHJF,"Apple iMac 21.5-inch 2.7GHz Quad-Core i5 (Mid 2011) MC812LL/A",
106,DHJF,"Apple iMac 21.5-inch 2.8GHz Quad-core i7 (Mid 2011) MC812LL/A",
107,DHJN,"Apple iMac 21.5-inch 2.5GHz Quad-core i5 (Mid 2011) MC309LL/A",
108,DHJN,"Apple iMac 21.5-inch 2.7GHz Quad-Core i5 (Mid 2011) MC812LL/A",
109,DHJN,"Apple iMac 21.5-inch 2.8GHz Quad-core i7 (Mid 2011) MC812LL/A",
110,DHJR,"Apple iMac 21.5-inch 2.5GHz Quad-core i5 (Mid 2011) MC309LL/A",
111,DHJR,"Apple iMac 21.5-inch 2.7GHz Quad-Core i5 (Mid 2011) MC812LL/A",
112,DHJR,"Apple iMac 21.5-inch 2.8GHz Quad-core i7 (Mid 2011) MC812LL/A",
113,DHJT,"Apple iMac 21.5-inch 2.5GHz Quad-core i5 (Mid 2011) MC309LL/A",
114,DHJT,"Apple iMac 21.5-inch 2.7GHz Quad-Core i5 (Mid 2011) MC812LL/A",
115,DHJT,"Apple iMac 21.5-inch 2.8GHz Quad-core i7 (Mid 2011) MC812LL/A",
116,FY0T,"Apple iMac 21.5-inch 1.4GHz Core i5 (Mid 2014) MF883LL/A",
117,FY0V,"Apple iMac 21.5-inch 1.4GHz Core i5 (Mid 2014) MF883LL/A",
118,G5W4,"Apple iMac 21.5-inch 1.4GHz Core i5 (Mid 2014) MF883LL/A",
119,5PE,"Apple iMac 27-inch 2.66GHz Quad-Core i5 (Late 2009) MB953LL/A",
120,5PE,"Apple iMac 27-inch 2.8GHz Quad-Core i7 (Late 2009) MB593LL/A",
121,5PE,"Apple iMac 27-inch 3.06GHz Core 2 Duo (Late 2009) MB952LL/A",
122,5PE,"Apple iMac 27-inch 3.33GHz Core 2 Duo (Late 2009) MB952LL/A",
123,5PJ,"Apple iMac 27-inch 2.66GHz Quad-Core i5 (Late 2009) MB953LL/A",
124,5PJ,"Apple iMac 27-inch 2.8GHz Quad-Core i7 (Late 2009) MB593LL/A",
125,5PJ,"Apple iMac 27-inch 3.06GHz Core 2 Duo (Late 2009) MB952LL/A",
126,5PJ,"Apple iMac 27-inch 3.33GHz Core 2 Duo (Late 2009) MB952LL/A",
127,5PM,"Apple iMac 27-inch 2.66GHz Quad-Core i5 (Late 2009) MB953LL/A",
128,5PM,"Apple iMac 27-inch 2.8GHz Quad-Core i7 (Late 2009) MB593LL/A",
129,5PM,"Apple iMac 27-inch 3.06GHz Core 2 Duo (Late 2009) MB952LL/A",
130,5PM,"Apple iMac 27-inch 3.33GHz Core 2 Duo (Late 2009) MB952LL/A",
131,5RU,"Apple iMac 27-inch 2.66GHz Quad-Core i5 (Late 2009) MB953LL/A",
132,5RU,"Apple iMac 27-inch 2.8GHz Quad-Core i7 (Late 2009) MB593LL/A",
133,5RU,"Apple iMac 27-inch 3.06GHz Core 2 Duo (Late 2009) MB952LL/A",
134,5RU,"Apple iMac 27-inch 3.33GHz Core 2 Duo (Late 2009) MB952LL/A",
135,D4V,"Apple iMac 27-inch 2.66GHz Quad-Core i5 (Late 2009) MB953LL/A",
136,D4V,"Apple iMac 27-inch 2.8GHz Quad-Core i7 (Late 2009) MB593LL/A",
137,D4V,"Apple iMac 27-inch 3.06GHz Core 2 Duo (Late 2009) MB952LL/A",
138,D4V,"Apple iMac 27-inch 3.33GHz Core 2 Duo (Late 2009) MB952LL/A",
139,DMZ,"Apple iMac 27-inch 2.66GHz Quad-Core i5 (Late 2009) MB953LL/A",
140,DMZ,"Apple iMac 27-inch 2.8GHz Quad-Core i7 (Late 2009) MB593LL/A",
141,DMZ,"Apple iMac 27-inch 3.06GHz Core 2 Duo (Late 2009) MB952LL/A",
142,DMZ,"Apple iMac 27-inch 3.33GHz Core 2 Duo (Late 2009) MB952LL/A",
143,DWZ,"Apple iMac 27-inch 2.66GHz Quad-Core i5 (Late 2009) MB953LL/A",
144,DWZ,"Apple iMac 27-inch 2.8GHz Quad-Core i7 (Late 2009) MB593LL/A",
145,DWZ,"Apple iMac 27-inch 3.06GHz Core 2 Duo (Late 2009) MB952LL/A",
146,DWZ,"Apple iMac 27-inch 3.33GHz Core 2 Duo (Late 2009) MB952LL/A",
147,DNCV,"Apple iMac 27-inch 2.9GHz Quad-Core i5 (Late 2012) MD095LL/A",
148,DNCV,"Apple iMac 27-inch 3.2GHz Quad-Core i5 (Late 2012) MD096LL/A",
149,DNCV,"Apple iMac 27-inch 3.4GHz Quad-Core i7 (Late 2012) MD096LL/A",
150,DNCW,"Apple iMac 27-inch 2.9GHz Quad-Core i5 (Late 2012) MD095LL/A",
151,DNCW,"Apple iMac 27-inch 3.2GHz Quad-Core i5 (Late 2012) MD096LL/A",
152,DNCW,"Apple iMac 27-inch 3.4GHz Quad-Core i7 (Late 2012) MD096LL/A",
153,DNMN,"Apple iMac 27-inch 2.9GHz Quad-Core i5 (Late 2012) MD095LL/A",
154,DNMN,"Apple iMac 27-inch 3.2GHz Quad-Core i5 (Late 2012) MD096LL/A",
155,DNMN,"Apple iMac 27-inch 3.4GHz Quad-Core i7 (Late 2012) MD096LL/A",
156,DNMP,"Apple iMac 27-inch 2.9GHz Quad-Core i5 (Late 2012) MD095LL/A",
157,DNMP,"Apple iMac 27-inch 3.2GHz Quad-Core i5 (Late 2012) MD096LL/A",
158,DNMP,"Apple iMac 27-inch 3.4GHz Quad-Core i7 (Late 2012) MD096LL/A",
159,F29N,"Apple iMac 27-inch 2.9GHz Quad-Core i5 (Late 2012) MD095LL/A",
160,F29N,"Apple iMac 27-inch 3.2GHz Quad-Core i5 (Late 2012) MD096LL/A",
161,F29N,"Apple iMac 27-inch 3.4GHz Quad-Core i7 (Late 2012) MD096LL/A",
162,FD5T,"Apple iMac 27-inch 2.9GHz Quad-Core i5 (Late 2012) MD095LL/A",
163,FD5T,"Apple iMac 27-inch 3.2GHz Quad-Core i5 (Late 2012) MD096LL/A",
164,FD5T,"Apple iMac 27-inch 3.4GHz Quad-Core i7 (Late 2012) MD096LL/A",
165,FD5V,"Apple iMac 27-inch 2.9GHz Quad-Core i5 (Late 2012) MD095LL/A",
166,FD5V,"Apple iMac 27-inch 3.2GHz Quad-Core i5 (Late 2012) MD096LL/A",
167,FD5V,"Apple iMac 27-inch 3.4GHz Quad-Core i7 (Late 2012) MD096LL/A",
168,FFM8,"Apple iMac 27-inch 2.9GHz Quad-Core i5 (Late 2012) MD095LL/A",
169,FFM8,"Apple iMac 27-inch 3.2GHz Quad-Core i5 (Late 2012) MD096LL/A",
170,FFM8,"Apple iMac 27-inch 3.4GHz Quad-Core i7 (Late 2012) MD096LL/A",
171,FFMJ,"Apple iMac 27-inch 2.9GHz Quad-Core i5 (Late 2012) MD095LL/A",
172,FFMJ,"Apple iMac 27-inch 3.2GHz Quad-Core i5 (Late 2012) MD096LL/A",
173,FFMJ,"Apple iMac 27-inch 3.4GHz Quad-Core i7 (Late 2012) MD096LL/A",
174,F8J4,"Apple iMac 27-inch 3.2GHz Quad-Core i5 (Late 2013) ME088LL/A",
175,F8J4,"Apple iMac 27-inch 3.4GHz Quad-Core i5 (Late 2013) ME089LL/A",
176,F8J4,"Apple iMac 27-inch 3.5GHz Quad-Core i7 (Late 2013) ME089LL/A",
177,F8J5,"Apple iMac 27-inch 3.2GHz Quad-Core i5 (Late 2013) ME088LL/A",
178,F8J5,"Apple iMac 27-inch 3.4GHz Quad-Core i5 (Late 2013) ME089LL/A",
179,F8J5,"Apple iMac 27-inch 3.5GHz Quad-Core i7 (Late 2013) ME089LL/A",
180,F8J9,"Apple iMac 27-inch 3.2GHz Quad-Core i5 (Late 2013) ME088LL/A",
181,F8J9,"Apple iMac 27-inch 3.4GHz Quad-Core i5 (Late 2013) ME089LL/A",
182,F8J9,"Apple iMac 27-inch 3.5GHz Quad-Core i7 (Late 2013) ME089LL/A",
183,F8JC,"Apple iMac 27-inch 3.2GHz Quad-Core i5 (Late 2013) ME088LL/A",
184,F8JC,"Apple iMac 27-inch 3.4GHz Quad-Core i5 (Late 2013) ME089LL/A",
185,F8JC,"Apple iMac 27-inch 3.5GHz Quad-Core i7 (Late 2013) ME089LL/A",
186,FPF3,"Apple iMac 27-inch 3.2GHz Quad-Core i5 (Late 2013) ME088LL/A",
187,FPF3,"Apple iMac 27-inch 3.4GHz Quad-Core i5 (Late 2013) ME089LL/A",
188,FPF3,"Apple iMac 27-inch 3.5GHz Quad-Core i7 (Late 2013) ME089LL/A",
189,FPF4,"Apple iMac 27-inch 3.2GHz Quad-Core i5 (Late 2013) ME088LL/A",
190,FPF4,"Apple iMac 27-inch 3.4GHz Quad-Core i5 (Late 2013) ME089LL/A",
191,FPF4,"Apple iMac 27-inch 3.5GHz Quad-Core i7 (Late 2013) ME089LL/A",
192,FQPG,"Apple iMac 27-inch 3.2GHz Quad-Core i5 (Late 2013) ME088LL/A",
193,FQPG,"Apple iMac 27-inch 3.4GHz Quad-Core i5 (Late 2013) ME089LL/A",
194,FQPG,"Apple iMac 27-inch 3.5GHz Quad-Core i7 (Late 2013) ME089LL/A",
195,FQPP,"Apple iMac 27-inch 3.2GHz Quad-Core i5 (Late 2013) ME088LL/A",
196,FQPP,"Apple iMac 27-inch 3.4GHz Quad-Core i5 (Late 2013) ME089LL/A",
197,FQPP,"Apple iMac 27-inch 3.5GHz Quad-Core i7 (Late 2013) ME089LL/A",
198,DB5,"Apple iMac 27-inch 2.8GHz Quad-Core i5 (Mid 2010) MC511LL/A",
199,DB5,"Apple iMac 27-inch 2.93GHz Quad-Core i7 (Mid 2010) MC784LL/A",
200,DB5,"Apple iMac 27-inch 3.2GHz Core i3 (Mid 2010) MC510LL/A",
201,DB5,"Apple iMac 27-inch 3.6GHz Core i5 (Mid 2010) MC510LL/A",
202,DB6,"Apple iMac 27-inch 2.8GHz Quad-Core i5 (Mid 2010) MC511LL/A",
203,DB6,"Apple iMac 27-inch 2.93GHz Quad-Core i7 (Mid 2010) MC784LL/A",
204,DB6,"Apple iMac 27-inch 3.2GHz Core i3 (Mid 2010) MC510LL/A",
205,DB6,"Apple iMac 27-inch 3.6GHz Core i5 (Mid 2010) MC510LL/A",
206,DNP,"Apple iMac 27-inch 2.8GHz Quad-Core i5 (Mid 2010) MC511LL/A",
207,DNP,"Apple iMac 27-inch 2.93GHz Quad-Core i7 (Mid 2010) MC784LL/A",
208,DNP,"Apple iMac 27-inch 3.2GHz Core i3 (Mid 2010) MC510LL/A",
209,DNP,"Apple iMac 27-inch 3.6GHz Core i5 (Mid 2010) MC510LL/A",
210,DNR,"Apple iMac 27-inch 2.8GHz Quad-Core i5 (Mid 2010) MC511LL/A",
211,DNR,"Apple iMac 27-inch 2.93GHz Quad-Core i7 (Mid 2010) MC784LL/A",
212,DNR,"Apple iMac 27-inch 3.2GHz Core i3 (Mid 2010) MC510LL/A",
213,DNR,"Apple iMac 27-inch 3.6GHz Core i5 (Mid 2010) MC510LL/A",
214,GRQ,"Apple iMac 27-inch 2.8GHz Quad-Core i5 (Mid 2010) MC511LL/A",
215,GRQ,"Apple iMac 27-inch 2.93GHz Quad-Core i7 (Mid 2010) MC784LL/A",
216,GRQ,"Apple iMac 27-inch 3.2GHz Core i3 (Mid 2010) MC510LL/A",
217,GRQ,"Apple iMac 27-inch 3.6GHz Core i5 (Mid 2010) MC510LL/A",
218,GVW,"Apple iMac 27-inch 2.8GHz Quad-Core i5 (Mid 2010) MC511LL/A",
219,GVW,"Apple iMac 27-inch 2.93GHz Quad-Core i7 (Mid 2010) MC784LL/A",
220,GVW,"Apple iMac 27-inch 3.2GHz Core i3 (Mid 2010) MC510LL/A",
221,GVW,"Apple iMac 27-inch 3.6GHz Core i5 (Mid 2010) MC510LL/A",
222,GXU,"Apple iMac 27-inch 2.8GHz Quad-Core i5 (Mid 2010) MC511LL/A",
223,GXU,"Apple iMac 27-inch 2.93GHz Quad-Core i7 (Mid 2010) MC784LL/A",
224,GXU,"Apple iMac 27-inch 3.2GHz Core i3 (Mid 2010) MC510LL/A",
225,GXU,"Apple iMac 27-inch 3.6GHz Core i5 (Mid 2010) MC510LL/A",
226,HJQ,"Apple iMac 27-inch 2.8GHz Quad-Core i5 (Mid 2010) MC511LL/A",
227,HJQ,"Apple iMac 27-inch 2.93GHz Quad-Core i7 (Mid 2010) MC784LL/A",
228,HJQ,"Apple iMac 27-inch 3.2GHz Core i3 (Mid 2010) MC510LL/A",
229,HJQ,"Apple iMac 27-inch 3.6GHz Core i5 (Mid 2010) MC510LL/A",
230,HJX,"Apple iMac 27-inch 2.8GHz Quad-Core i5 (Mid 2010) MC511LL/A",
231,HJX,"Apple iMac 27-inch 2.93GHz Quad-Core i7 (Mid 2010) MC784LL/A",
232,HJX,"Apple iMac 27-inch 3.2GHz Core i3 (Mid 2010) MC510LL/A",
233,HJX,"Apple iMac 27-inch 3.6GHz Core i5 (Mid 2010) MC510LL/A",
234,DHJP,"Apple iMac 27-inch 2.7GHz Quad-Core i5 (Mid 2011) MC813LL/A",
235,DHJP,"Apple iMac 27-inch 3.1GHz Quad-Core i5 (Mid 2011) MC814LL/A",
236,DHJP,"Apple iMac 27-inch 3.4GHz Quad-Core i7 (Mid 2011) MC814LL/A",
237,DHJQ,"Apple iMac 27-inch 2.7GHz Quad-Core i5 (Mid 2011) MC813LL/A",
238,DHJQ,"Apple iMac 27-inch 3.1GHz Quad-Core i5 (Mid 2011) MC814LL/A",
239,DHJQ,"Apple iMac 27-inch 3.4GHz Quad-Core i7 (Mid 2011) MC814LL/A",
240,DHJV,"Apple iMac 27-inch 2.7GHz Quad-Core i5 (Mid 2011) MC813LL/A",
241,DHJV,"Apple iMac 27-inch 3.1GHz Quad-Core i5 (Mid 2011) MC814LL/A",
242,DHJV,"Apple iMac 27-inch 3.4GHz Quad-Core i7 (Mid 2011) MC814LL/A",
243,DHJW,"Apple iMac 27-inch 2.7GHz Quad-Core i5 (Mid 2011) MC813LL/A",
244,DHJW,"Apple iMac 27-inch 3.1GHz Quad-Core i5 (Mid 2011) MC814LL/A",
245,DHJW,"Apple iMac 27-inch 3.4GHz Quad-Core i7 (Mid 2011) MC814LL/A",
246,DMW8,"Apple iMac 27-inch 2.7GHz Quad-Core i5 (Mid 2011) MC813LL/A",
247,DMW8,"Apple iMac 27-inch 3.1GHz Quad-Core i5 (Mid 2011) MC814LL/A",
248,DMW8,"Apple iMac 27-inch 3.4GHz Quad-Core i7 (Mid 2011) MC814LL/A",
249,DWTR,"Apple iMac 27-inch 2.7GHz Quad-Core i5 (Mid 2011) MC813LL/A",
250,DWTR,"Apple iMac 27-inch 3.1GHz Quad-Core i5 (Mid 2011) MC814LL/A",
251,DWTR,"Apple iMac 27-inch 3.4GHz Quad-Core i7 (Mid 2011) MC814LL/A",
252,FHCV,"Apple iMac 27-inch 2.7GHz Quad-Core i5 (Mid 2011) MC813LL/A",
253,FHCV,"Apple iMac 27-inch 3.1GHz Quad-Core i5 (Mid 2011) MC814LL/A",
254,FHCV,"Apple iMac 27-inch 3.4GHz Quad-Core i7 (Mid 2011) MC814LL/A",
255,GG78,"Apple iMac Retina 4K 21.5-inch 3.1GHz Quad-Core i5 (Late 2015) MK452LL/A",
256,GG78,"Apple iMac Retina 4K 21.5-inch 3.3GHz Quad-Core i7 (Late 2015) MK452LL/A",
257,GG7F,"Apple iMac Retina 4K 21.5-inch 3.1GHz Quad-Core i5 (Late 2015) MK452LL/A",
258,GG7F,"Apple iMac Retina 4K 21.5-inch 3.3GHz Quad-Core i7 (Late 2015) MK452LL/A",
259,FY11,"Apple iMac Retina 5K 27-inch 3.5GHz Quad-Core i5 (Late 2014) MF886LL/A",
260,FY11,"Apple iMac Retina 5K 27-inch 4.0GHz Quad-Core i7 (Late 2014) MF886LL/A",
261,FY14,"Apple iMac Retina 5K 27-inch 3.5GHz Quad-Core i5 (Late 2014) MF886LL/A",
262,FY14,"Apple iMac Retina 5K 27-inch 4.0GHz Quad-Core i7 (Late 2014) MF886LL/A",
263,GDQY,"Apple iMac Retina 5K 27-inch 3.5GHz Quad-Core i5 (Late 2014) MF886LL/A",
264,GDQY,"Apple iMac Retina 5K 27-inch 4.0GHz Quad-Core i7 (Late 2014) MF886LL/A",
265,GG7J,"Apple iMac Retina 5K 27-inch 3.2GHz Quad-Core i5 (Late 2015) MK462LL/A",
266,GG7J,"Apple iMac Retina 5K 27-inch 3.3GHz Quad-Core i5 (Late 2015) MK482LL/A",
267,GG7J,"Apple iMac Retina 5K 27-inch 4.0GHz Quad-Core i7 (Late 2015) MK472LL/A",
268,GG7L,"Apple iMac Retina 5K 27-inch 3.2GHz Quad-Core i5 (Late 2015) MK462LL/A",
269,GG7L,"Apple iMac Retina 5K 27-inch 3.3GHz Quad-Core i5 (Late 2015) MK482LL/A",
270,GG7L,"Apple iMac Retina 5K 27-inch 4.0GHz Quad-Core i7 (Late 2015) MK472LL/A",
271,GG7N,"Apple iMac Retina 5K 27-inch 3.2GHz Quad-Core i5 (Late 2015) MK462LL/A",
272,GG7N,"Apple iMac Retina 5K 27-inch 3.3GHz Quad-Core i5 (Late 2015) MK482LL/A",
273,GG7N,"Apple iMac Retina 5K 27-inch 4.0GHz Quad-Core i7 (Late 2015) MK472LL/A",
274,GG7V,"Apple iMac Retina 5K 27-inch 3.2GHz Quad-Core i5 (Late 2015) MK462LL/A",
275,GG7V,"Apple iMac Retina 5K 27-inch 3.3GHz Quad-Core i5 (Late 2015) MK482LL/A",
276,GG7V,"Apple iMac Retina 5K 27-inch 4.0GHz Quad-Core i7 (Late 2015) MK472LL/A",
277,GG80,"Apple iMac Retina 5K 27-inch 3.2GHz Quad-Core i5 (Late 2015) MK462LL/A",
